energy,price
32832.0,57.48
34132.0,57.68
34483.0,61.57
34367.0,60.89
33966.0,61.05
33769.0,56.79
32453.0,53.26
31643.0,53.11
31216.0,53.91
31054.0,53.96
31009.0,63.51
33649.0,70.46
34368.0,72.42
33742.0,68.14
31964.0,60.2
29705.0,57.45
27739.0,44.8
25645.0,40.81
24033.0,37.87
23214.0,37.19
22890.0,36.6
22770.0,36.56
23361.0,38.7
24357.0,38.01
25767.0,41.43
28583.0,45.59
30244.0,52.93
30287.0,52.83
29640.0,52.47
29529.0,53.71
28644.0,47.34
27570.0,43.04
26919.0,43.34
26609.0,46.55
27220.0,60.34
29643.0,60.83
30718.0,62.87
30644.0,60.42
29622.0,50.83
27689.0,45.53
27243.0,47.6
24723.0,40.01
22861.0,37.79
21963.0,33.06
21540.0,29.65
21642.0,31.25
22434.0,33.55
23787.0,31.95
25305.0,37.89
27745.0,40.43
30101.0,36.44
30495.0,41.68
29893.0,43.39
29659.0,39.68
29268.0,39.33
28375.0,30.69
27840.0,28.13
28102.0,33.68
30973.0,39.34
32130.0,51.94
32763.0,56.16
32875.0,53.65
31532.0,49.01
29366.0,42.7
29071.0,34.12
26977.0,29.43
25574.0,27.86
24982.0,27.75
24879.0,27.27
25506.0,34.11
28104.0,42.74
32929.0,53.61
35765.0,58.5
37147.0,61.2
37681.0,61.88
37765.0,60.71
37489.0,60.53
37385.0,60.32
36208.0,58.87
35771.0,57.3
35800.0,57.92
36193.0,59.1
37418.0,71.86
39296.0,90.02
39406.0,96.78
38351.0,92.2
35607.0,65.96
32222.0,61.04
26021.0,63.49
24285.0,59.33
23273.0,55.6
22800.0,52.4
22624.0,50.28
23304.0,54.7
25773.0,59.88
29455.0,64.81
31813.0,73.49
32972.0,75.85
33267.0,73.66
33314.0,70.67
33027.0,69.34
32791.0,68.57
31615.0,64.58
30892.0,62.87
30427.0,62.75
30397.0,67.89
30668.0,72.35
33367.0,83.8
34572.0,85.73
33596.0,76.26
31047.0,65.45
28168.0,59.46
22551.0,55.15
21052.0,51.51
20002.0,48.66
19371.0,44.36
18975.0,36.33
18934.0,34.88
19211.0,39.21
19743.0,42.29
19775.0,53.33
21241.0,53.95
22554.0,53.67
23012.0,52.27
22932.0,47.92
22969.0,51.03
22744.0,43.89
21706.0,41.31
21270.0,41.79
21062.0,44.57
21051.0,48.15
21594.0,60.11
23277.0,63.03
25521.0,60.11
24718.0,48.34
23519.0,40.19
23212.0,27.68
21739.0,20.42
20707.0,17.38
19963.0,17.91
19708.0,16.81
19650.0,17.21
19838.0,25.65
19351.0,31.22
20162.0,41.38
22045.0,43.42
23700.0,43.8
24525.0,41.88
24689.0,42.23
24960.0,42.12
24790.0,40.86
23615.0,41.22
22925.0,42.62
22801.0,48.32
23044.0,55.97
23481.0,69.69
24567.0,72.97
27117.0,69.04
26623.0,55.43
24758.0,52.7
26397.0,49.65
24928.0,46.44
23977.0,41.37
23593.0,39.41
23400.0,38.79
23745.0,45.04
25167.0,53.2
27428.0,61.94
29921.0,67.38
31099.0,72.79
32003.0,70.29
32810.0,66.52
33535.0,61.57
33703.0,61.64
32802.0,60.3
32417.0,56.71
32537.0,56.63
32794.0,59.13
32434.0,73.1
31756.0,81.22
31328.0,89.34
31563.0,80.93
30780.0,64.63
28352.0,62.04
29195.0,58.1
27247.0,54.75
25908.0,52.54
25239.0,48.41
24906.0,46.14
25122.0,45.82
26479.0,48.03
28626.0,50.8
31163.0,56.56
33525.0,59.12
35090.0,58.44
